nomor_ulasan,nama_seller,ulasan_pembeli,kelas _sentimen,,,,,,
419,FASHIONM,Barang cukup bagus...dan sya suka warna nya,positif,,,,,,
420,FASHIONM,"Produk nya bagus, hasilnya menutup kekurangan wajah dengan baik",positif,,,,,,
421,FASHIONM,barang sudah di trima dngan kndisi baik karna peking aman pengiriman cepat dan barang nya ori saya suka bngeet maksh ya,positif,,,,,,
422,FASHIONM,"sudah sampai nih bagus banget suka deh sama barangnya , pengiriman nya juga cepat banget makasih fashionm",positif,,,,,,
423,FASHIONM,Kondisi paket rapi dan cepat sampai,positif,,,,,,
424,FASHIONM,"Kualitasnya ga bohong, bagus dan ori! sesuai seperti keterangan. terima kasih yaaaa fashionm... :)",positif,,,,,,
425,FASHIONM,"BAGUS, CUKUP LENGKAP UNTUK MAKEUP SEHARI-HARI, HASILNYA NATURAL DAN SUKA SEKALI. TERIMA KASIH",positif,,,,,,
426,FASHIONM,"Kecewa bgt pengirimannya lama, diluar waktu yg ditentukan!",negatif,,,,,,
427,FASHIONM,Nyesel barang yang dateng salah gimana nih,negatif,,,,,,
428,FASHIONM,"Kok krimnya lengket ya, terus proses pengirimannya lama banget",negatif,,,,,,
429,FASHIONM,Merasa d tipu. Pesen 2 dapet 1 . Bayarnya 2 pula . Gmana nii.,negatif,,,,,,
430,FASHIONM,kurang cocok d wajah saya... jd mengkilap berminyak,negatif,,,,,,
431,FASHIONM,"Kosmetiknya bagus,,kemasan kirimnya jg bagus jd barang d terima dlm keadaan baik",positif,,,,,,
432,FASHIONM,mksh ya seller fashionm dan lazada paketnya sudah sampai hari ini dngan kondisi ok..barangnya bagus ori mudah di gunakan sampe tepat waktu ga harus nunggu lama,positif,,,,,,
433,FASHIONM,sdh di coba dan cocok... tahan lama... setelah wajah dibersihkan ttp masih terasa lembut kyk beludru,positif,,,,,,
434,FASHIONM,"Puas benget, selalu menyenangkan belanja di seller ini.. Aku suka semua produk dari sini.",positif,,,,,,
435,FASHIONM,BARANG BAGUS TAPI KALENG PENYOK SANA SINI.... NYESEL GUA BELIIIII,negatif,,,,,,
436,FASHIONM,ini palsu ga ada embosnya.. cma stiker tempelan doang..,negatif,,,,,,
437,FASHIONM,Jelek luntur penjual penipu pembohong,negatif,,,,,,
438,FASHIONM,"Bau ny gk enak ,gk berani pake deh ..ragu ,!",negatif,,,,,,
439,FASHIONM,"ini brush.a ok bgt..gmpang bgt buang ngblend.a..mo shding hidung,buat ngkontur mata atau alis jg bisa, ok lah",positif,,,,,,
440,FASHIONM,"selalu puas belanja di fashionM, harga masih masuk akal dan barangnya juga ori + packaging pengirimannya juga sangat aman. sukses untuk seller semoga bisa menambah produk yg lebih banyak dan lengkap untuk dijual. biar kita ga perlu capek"" ke dept. store lagi",positif,,,,,,
441,FASHIONM,"Barang smp dgn selamat mulus...stlh di coba hasilnya kereeeen abizzzzz aq suka bngt y wrn medium light dan light itu cocok bngt utk kulit putih teksturnya lembut bngt kemuka juga jd keliatan halus n yg terpenting awet g luntur,emank ada hrg ada kwalitas ...mau nabung dl utk beli yg kemasan besarnya hehhehe....tq seller",positif,,,,,,
442,FASHIONM,"terimakasih barangnya sudah sampai,cepat sekali...bagus jg dipakai dialis saya terlihat natural,terimakasih sekali lagi...?",positif,,,,,,
443,FASHIONM,Paket dah di trima . Lip bagus ori . Peking rapih . Kurir pun ramah bgt . Makasih lazada,positif,,,,,,
444,FASHIONM,Sangatt kecewa.. maskara ny tidak Ada Sama sekali. 100% kecewa..,negatif,,,,,,
445,FASHIONM,"paket sudah sampai trimaksh ya,, barangnya ori mudah digunakan dan tahan lama suka bnget sama produk ini pengiriman sampai tepat waktu dan packingan nya ituu aman bnget trus rapih lgh mantap deh fashionm",positif,,,,,,
446,FASHIONM,Barang kw. Baunya kaya bau plastik. Nyesel banget beli langsung dua,negatif,,,,,,
447,FASHIONM,Kurang nempel di alis..,negatif,,,,,,
448,FASHIONM,"Bocor di bagian bawah, isi sudah ga penuh lagi",negatif,,,,,,
449,FASHIONM,"isinya bau gthu,,, dan tempatnya ketahuan bgt bareng KW.",negatif,,,,,,
450,FASHIONM,produk kurang memuaskan karna warna gak nyata dipakai,negatif,,,,,,
451,GOC Shop,"Bguss bguss packing aman & pengiriman cepat. Ini kali kedua sy order, tengkiyuu seller tengkiyuu lazada.",positif,,,,,,
452,GOC Shop,"Barang Bagus,warna Di Bibir Cantik,nyaman di pake,cepat bgtz nympenya.gak nysel nih beli di lazada sllu cpet dan utuh.mksih lazada",positif,,,,,,
453,GOC Shop,Warna yg di display ama yg di kirim beda seharus nya di cocokin donk pelanggan kan jadi kecewa...yg di kirim warna nya ga sesuai dgn yg d pesan.kecewa,negatif,,,,,,
454,GOC Shop,"Pesanan sudah datang. Tapi sayang isinya patah, mungkin karena packingnya tidak rapih. Lipstick dimasukkan ke kardus yang lebih besar sehingga ke geser geser hasilnya dibuka patah. Semoga kedepan lebih baik dan lebih safety.",negatif,,,,,,
455,GOC Shop,"Bedak terbaik yang bener"" bikin muka lebih matte, terus lebih ringan juga dan ga bikin cracking",positif,,,,,,
456,GOC Shop,Lipstik purba sarinya gak matte padahal dstu pas beli keterangannya matte tapi pas dpake lipstiKnya gak matte mau minum nempel di gelas jadi kecewa.,negatif,,,,,,
457,GOC Shop,"Tolong dong goc shop konfirmasinya, paketnya udah sampai tapi isinya cuma sabun sirih aja. Lipstiknya gak ada",negatif,,,,,,
458,GOC Shop,Barang sesuai yang diminta packing nya juga rapih kurir nya ramah barang langsung dateng pokoknya top deh,positif,,,,,,
459,GOC Shop,"Brg sdh smp sesuai pesanan, packing rapih n save. Yihuuu dch pokoknya. Wrn bagus, dtg ny pun cpt. Tq Lazada sering2 tambah disc nya yua...",positif,,,,,,
460,GOC Shop,"awalnya saya cuma coba2, pertama saya cb lipstiknya dan hsilnya bguss ga ilang saat d buat mnm,akhrnya saya penasaran dengan rangkaian purbasari,,ternyata dr mulai alas bedak,pelembab bedak lipstik dll saya cocok dan saya jatuh cinta pada purbasari,,, terimakasih purbasari bersamamu aq tampil lebih peercaya diri,,,",positif,,,,,,
461,GOC Shop,Tolong lebih teliti dong...pesan 83 yg d kirim 88...malas tuker2 barang...malah ribet...ga ada waktu...makanya blanja online biar ga kluar rumah...klu harus pengembalian atau penukaran bikin bete!!!,negatif,,,,,,
462,GOC Shop,"Ternyata warna di gambar dgn warna lipstic yg aslinya sangat berbeda, di gambar warna pink nya cerah ehh yg dtg barng nya warna pink pucat.tolong donk real pict, jgn php.kasian konsumen",negatif,,,,,,
463,GOC Shop,Kecewa pesen warna pink datang y warna coklat,negatif,,,,,,
464,GOC Shop,"Barang nyampenya sesuai sama range waktunya, packingnya rapi pake bubble lagi, udah dicobain langsung ke bibir warnanya cantik, keliatan bagus walaupun basic bibirku hitam, matte dan ringan.. Pokoknya aku senang deh belanja di GOC Shop, Thanks ya..",positif,,,,,,
465,GOC Shop,"Barang'y udh sampe dan sesuai dgn pesanan sya, packing'y rapii bgd & warna'y sukaaaa bgd.... Thz ya Lazada",positif,,,,,,
466,GOC Shop,"Ga nyangka banget dgn lipstick collor matte dr purbasari ini, sangat bagus dan nyaman di pakai, ternyata produk ini sdh booming dr 2 tahun lalu tp aku baru tau setelah cobain punya teman, lalu googling dan akhirnya lihat youtube review & swatchesnya benar2 bagus2 warnanya dan saat ini aku punya 10 seri warna lipstick collor matte purbasari, dan semuanya beli di saller ini",positif,,,,,,
467,GOC Shop,"Ujung lipstiknya patah krn saat ditutup kurang turun dikit sy kecewa jd ky barang rijekan .pengepakan ok wrn ok ,pesan dari tgl 30 tgl 5 baru sampai",negatif,,,,,,
468,GOC Shop,"Pesanan yg di kirim cream malam, pdahal pesan ny lipstik...lain x tlong di cek lagi sebelum di kirim jangan smpai ke jadian lagi seperti itu. Ternyata barang tertukar. Di alamat luar alamat saya... Di alamat dalam dus sama barang ny bukan pesanan saya... Udh nunggu ny jg lama",negatif,,,,,,
469,GOC Shop,brgny dtg cepet n rapi tp pas dicoba pake kulit wajam perih panas ky dioles cabe...lgsg diblg itu jg msh lm perihny trs lgsg kluar jerawat...nyesel bgt pokokny product palsu,negatif,,,,,,
470,GOC Shop,Kembalikan uang saya. Jelas saya sudah bayar di alfamart karena tidak bisa cod. Tp kenapa begitu barang sampai di mintak uang lagi smntra tidak cod. Tolong dikembalikan uang saya. Jd saya bayar dua kali. Penipuan ini namanya,negatif,,,,,,
471,GOC Shop,"Pesanan no. #3292577592, lipstiknya blm dikirim hanya ada cream theraskin saja. Sdgkan dilaporan pengiriman, cream theraskin & lipstik purbasarinya sdh dikirim. Tolong direfund aja uang saya",negatif,,,,,,
472,GOC Shop,"Aduhh,,, ini seller. Sy pesan lipstik ini, loh kok barang yg diterima lip blam wardah hrgx l ebih murah dibanding yg sy bayar ke kurir. Jdi rugi deh....",negatif,,,,,,
473,GOC Shop,Sy beli 81 kenapa yg dikirim no 92 aduhh aga nyesel belinya klo beli 1 gpp deh ini punya tmn nitip kan jd ga enak klo slah gini duh,negatif,,,,,,
474,GOC Shop,barangnya sudah sampai tepat waktu. sangat puas krn produk sangat bagus. tidak kering dibibir. walau tdk terlalu tahan lama jika habis makan arau minum. tp tetap puas dgn produknya yg matte dan warnanya bagus2.,positif,,,,,,
475,GOC Shop,"Murah tp kualitas bagus Klo merk udh psti pda tau ya Bru pake blm ada seminggu asal rutin kulit gw yg tdnya kering jd lembut,kenyal,agak cerah juga Gak nyesel beli ini pas dpet harga murah hehehe",positif,,,,,,
476,GOC Shop,"Paketnya murah , packingnya lumayan rapi, pengiriman cepat...kurirnya juga sopan.... pokoknya bagussssss .... thanks lazada",positif,,,,,,
477,GOC Shop,"Pengirimannya cepat, pdhl sy dibali dikirim cuman 4hari kerja. lipcreamnya bagus, tahan lama, matte, recommended bgt.. nnti mau beli lagi warna lain. Thankyou lazada n seller :)",positif,,,,,,
478,GOC Shop,Warna sesuai dg gambar.. Mate bgt. Tahan lama waterproof jg. Aahh gk nyesel deh.. Datang jg lebih cepat dari estimasi.. Thx seller,positif,,,,,,
479,GOC Shop,"Warnanya masuk ke skintone aku yang kuning sawo matang, bisa menutupi bekas jerawat, membuat wajah menjadi halus, dan wanginya ku sukak",positif,,,,,,
480,GOC Shop,sangat mwngcewa kan barang yag di pesan jauuuuuuuuhhhh bnget warnanya ketika pesanan smpai rumah.Nyesel banget.buat yg mw pesan in brng pikir2 deh Ntr zonk wkwwkwkwkw,negatif,,,,,,
481,GOC Shop,"Pengiriman cepat. Sesuai estimasi. Packing rapih. Saya udah pake selama 10 hari dan bagus, udah keliatan hasilnya mulai berkurang mata pandanya. Trimakasih GOC & Lazada",positif,,,,,,
482,GOC Shop,"Packagingnya rapi banget, kalo pake bubble wrap pasti lebih safe. Mengenai produknya, aku memang suka merk ini, tapi ini pertama kalinya aku pake no. 83 ini. Warnanya bagus, pigmented, dan ga kering di bibir. Thanks!!",positif,,,,,,
483,GOC Shop,Kecewa bgt pengiriman lama bgt jauh dr estimasi trs paa nyampe lipstiknya warnanya g sesuai gambar warnanya tua bgt malah lebih k merah maroon,negatif,,,,,,
484,GOC Shop,"lipstikx dah datang tapi msak yg saya pesan pink yg datang mala cokelat .harusx periksa yang benar donk klo mw dpaking biar pembelix ga kecewa .jangan asal""lan klo jual ,harus teliti .. mkasih .",negatif,,,,,,
485,GOC Shop,"Warna yg di jual ga sesuai sm yg dtg di pesan.. Warna yg dtg lebih merah,, baru x ini kecewa sm lazada.. ##lipstikgakkepake",negatif,,,,,,
486,GOC Shop,Bagus.. matte kaya krayon gitu.. thanks lazada..,positif,,,,,,
487,GOC Shop,Packing bagus.. Lipstiknya jg baguss.. Thx lazada,positif,,,,,,
488,GOC Shop,Sumpah warna bagus aku suka banget makasih lazada,positif,,,,,,
489,GOC Shop,"baru sampai kemarin, lipstiknya bagussssss. suka",positif,,,,,,
490,GOC Shop,Lipstik tidak sesuai warna.. Sangat kecewa,negatif,,,,,,
491,GOC Shop,Barang sesuai gambar... Pengirimn cepat' mantap,positif,,,,,,
492,GOC Shop,"Ngejreng bgt wrnanya, menor saat di pake",negatif,,,,,,
493,GOC Shop,"Packingnya rapih, bagus banget cocok lipstiknya",positif,,,,,,
494,GOC Shop,Lipstiknya uda nyampai tapi ngak sesui sama yang di gambar. Saya kecewa banget.,negatif,,,,,,
495,GOC Shop,"Kecewa banget. Lipstick nya rusak, meleleh, dan ga bisa diputar:(((",negatif,,,,,,
496,GOC Shop,Packing rapiii warna bagus. Terima kasih lazada,positif,,,,,,
497,GOC Shop,Produs kemasannya oke. Cepet sampai. Keren lah.,positif,,,,,,
498,GOC Shop,"Saya tidak menerima produk ini,jd mohon dicek ulang ke seller nya",negatif,,,,,,
499,GOC Shop,"barang sudah diterima tp kurang satu,pesan 4 pcs hanya terima 3 dan bungkusnya sdah rusak,mohon dicek dan dikirim kembali krn saya sudah bayar sesui pesanan,,,",negatif,,,,,,
500,GOC Shop,"Pengiriman cepat,harga&kwalitas produk oke bgt",positif,,,,,,
501,GOC Shop,bagusih warnanya .. matte juga .. seneng dehhh,positif,,,,,,
502,GOC Shop,Puasss bgt . Brgnya oke dipake ringan bgt . Aku ud sering order loh thx yaaa lazada,positif,,,,,,
503,GOC Shop,Suka banget sama barangnya. Keliatan perubahannya. Kulit Terasa semakin cerah. Packingannya rapih. Pengiriman jg cepet. Makasih lazada.,positif,,,,,,
504,GOC Shop,Yg bener aja masa d kirim nya pke kantong plastik putih sie,negatif,,,,,,
505,GOC Shop,"Pengiriman lama 2 minggu, begitu nyampe patah. Nyesel lah .",negatif,,,,,,
506,GOC Shop,"Packing gak bagus, barang nyampe lipstik patah...",negatif,,,,,,
507,GOC Shop,Lipstikny bagus tahan lama tp saya pikir warna agak marun ternyta warnanya coklat .pengiriman cepat sesuai sblm estimasi.terimakasih lazada n seller,positif,,,,,,
508,GOC Shop,kurang bagus warnanya n ga awet,negatif,,,,,,
509,GOC Shop,"Thankyouu barangnya sudah sampai.. Pengiriman cepat, kurir LEX nya juga ramah, barang nya rapi ga ada cacat.. Memuaskan bgttt. Thankss ????",positif,,,,,,
510,GOC Shop,"brng sdh sy trima sesuai estimasi, packing baik pake buble warp brng utuh ga ada cacat...tp blm sy coba smoga cocok...thanks lazada, smoga terus memuaskan pelanggan nya.....",positif,,,,,,
511,GOC Shop,"Mksh barangnya dh sampai tepat waktu, barangnya bagus&tidak mengecewakan, saya puas dgn layanannya trims lazada",positif,,,,,,
512,GOC Shop,"Barang yg dpesan sesuai dengan harapan. Jadi gini untuk para customer yg mau beli lipstick sok atuh sebelum di beli, coba di hafal dulu shade sama merknya trs cari di internet, pasti banyak bamget beauty vlogger yg bahas ttg produk yg kamu inginin. Jdi kamunya juga gak salah beli shade lipstick kan.",positif,,,,,,
513,GOC Shop,"Pesen kemarin, nyampe sore ini. Kurirnya ramah, packingnya rapih, barang sesuai ekpektasi. Enak dipakai.",positif,,,,,,
514,GOC Shop,barang kaya bekas,negatif,,,,,,
515,GOC Shop,Warna ga sesuai sama foto kecewa.,negatif,,,,,,
516,GOC Shop,"Pesanan 2 hari sampai , lipstik nya bagus matte .n' wangi .tpi warna nya lebih gelap dri yg d gambar .tpi gpp lah .mksih Lazada",positif,,,,,,
517,GOC Shop,"dtg pas tanggal. estimasi hr ni 30/3,sesuai barangnya.saya pemakai setia lulur purbasari hrg trjangkau dan kualitas bagus bahkan dilazada lbh murah dr aplikasi belanja lain nya..thq maju trs lazada,diperbanyak lg prom02 nya",positif,,,,,,
518,GOC Shop,"hari ini pesan besoknya sampai, warnanya BAGUS BANGET dibanding warnayg lain. warnanya mirip sama nyx smlc Ibiza. thank you",positif,,,,,,
519,GOC Shop,Suka banget dengan lipstik ini. Terima kasih Lazada karena telah mengirimkan dengan baik sampai ke saya.,positif,,,,,,
520,GOC Shop,"Saya pengguna lulur purbasari, hrganya murah di lazada, hasilnya lembut dan wangi dtubuh",positif,,,,,,
521,GOC Shop,"brg dtg dng baik dng LEX,tepat sesuai estimasi waktu,packing rapih ,,sllu beli purbasari dilazada. jdi suka belanja jdi lbh simple sekali.gperlu ribet*sloganlazada* sukses sllu",positif,,,,,,
522,GOC Shop,"Barang datang sesuai estimasi, dikemas dengan baik karena ada bubble wrapnya jadi aman, kurir ramah. Untuk produknya sendiri kebetulan cocok di kulit saya, hasil akhir matte diwajah, overall saya suka. Terimakasih",positif,,,,,,
523,GOC Shop,Penggirimannya sangat cepat dan dibungkus sangat rapih. Bedaknya tidak pecah. Terima kasih Lazada. Semoga semakin baik pelayanannya??,positif,,,,,,
524,GOC Shop,"Barang cepet banget sampainya.. pesan tgl 12 jan, tgl 13 jan udh dtg.. kemasannya juga rapi pakai bubble wrap.. bedaknya udh dicoba, baunya enak trs juga bner bisa mahan minyak.. thx GOC shop, Lazada, & Purbasari",positif,,,,,,
525,GOC Shop,Pengiriman lama! Ketika dibuka kemasan nya lipstick nya sdh patah! SAYA KECEWA SEKALI!!!,negatif,,,,,,
526,GOC Shop,Baru kali ini kecewa beli dilazada... lipstiknya Tidak sesuai yg digambar !!!,negatif,,,,,,
527,GOC Shop,"Saya Kecewa sekali, barang yg dikirim tidak sesuai pesanan, pesanan saya sudah sesuai gambar No. 93, tapi barang yg dikirim No. 83, Mau diretur ongkir lagi, Terpaksa saya jadikan stock, Baru kali ini kecewa beli Lipstik dilazada, Padahal saya Order sudah 50 pcs untuk semua customer saya",negatif,,,,,,
528,GOC Shop,Keren dah ni serum mata. Murah. Nyari di supermarket susah. Di hypermarket juga susah. Ujung ujung nya nemu di lazada. Barang nyampe 3 hari yah lumayan lah. Packing rapih. seger bgt serum nya di kelopak mata. Thanks. Laku bgt nih barang. Sukur gue kaga keabisan. :),positif,,,,,,
529,GOC Shop,"Hallo purbasari... Terima kasih Barang nya uda sampe dengan selamat. Packaging Keren, luxury lah... + dapet Harga 20k murah nya bukan main.. Kapan2 order lagi ya.. Klo bisa sih dibuat refillnya juga.",positif,,,,,,
530,GOC Shop,Emang gak bisa bedain ya 86 sama 88..saya pesen 86 dikasih 88..udah tau paling males refund barang! Aku buang di tong sampah sekalian! Males lama2 belanja di lazada!,negatif,,,,,,
531,GOC Shop,"Kemasan Penyok, yg lebih parah pesen 2 cuma dapat 1 , GOC shop tolong diperhatikan kuantitasnya",negatif,,,,,,
532,GOC Shop,Pihak lazada gimana ini? Saya pesen lipstik purbasari 84 dan 89. Kenapa yg dateng 84 dua duanya? Ini gimana? Saya enggak pake 84 lho. Ini yg 84 punya temen saya. Temen saya nitip. TERUS SAYA PAKE APA?,negatif,,,,,,
533,GOC Shop,"Pengiriman sih cepat, tapi pas dibuka lipsticknya udah patah. Tolong lebih teliti lagi sebelum pengirimana di cek terlebih dahulu, jngan asal kirim!! PENONTON KECEWA BRO",negatif,,,,,,
534,GOC Shop,"Lipstick nya pas sampe udah patah, tolong dong kalo mau dikirim di cek dulu sudah sesuai apa belunya. Jngan ASAL!",negatif,,,,,,
535,GOC Shop,Pesen lipstik 3 biji harga 83.000 malah d kasih paket ini yang harganya 40.000an rugi banyaak uyyy..,negatif,,,,,,
536,GOC Shop,"baru sampe, dibuka keras bgt. pas dibuka patah isinya. ga matte. dimana mattenya coba, kecewa deh elah. lain kali kalo ngirim barang dicek lagi mbak/mas. jgn barang patah dikasih",negatif,,,,,,
537,GOC Shop,"Gak sesuai sama yg diterima gambar sama warna yg didapet beda, lipstick udah kayak bekas dicolek. Jadi kecewa bgt, padahal setiap beli dilazada gak pernah dapet barang buruk",negatif,,,,,,
538,GOC Shop,suka bgt sma brngnya karena sesuai sma yg aq mau..untuk pengiriman pun sesuai dengan estimasi nya.. thanks Lazada & Seller :),positif,,,,,,
539,GOC Shop,"warnanya bagus.awal dipulas ke bibir warnanya agak gelap, setelah dibaurkan jadi coklat kemerahan. fresh tapi tidak norak.",positif,,,,,,
540,GOC Shop,"Bagus banget , lembut, warnanya ngak terlalu mencolok, ringan di bibir,ngak lengket.. recommended banget",positif,,,,,,
541,GOC Shop,"Lipcream yang bener"" bagus warnanya cantik banget , saya suka banget sama lip cream ini padahal baru pertama kali beli",positif,,,,,,
542,GOC Shop,Lulurnya sudah sampai..wanginya enak..packingan rapi.. Kurir juga sangat ramah walau kesulitan cari alamat.. Sukses terus ya GOC Shop n Lazada... Tetap pertahankan pelayanannya...,positif,,,,,,
543,GOC Shop,"Baguss bgt , sukaa , cepet lagi pengiriman nyaa .. Di email pagi udh di kirim , siang nya udh sampee. Ganyesel dehh pokoknyaa",positif,,,,,,
544,GOC Shop,"Barang sudah sampai dengan selamat dan cepat,respon cepat. Barang belum di coba semoga dark circlenya hilang",positif,,,,,,
545,GOC Shop,"Barangnya udah sampe, Bagus banget warnanya jg Wangi nya kaya permen karet gitu ya. Baru dtg langsung coba trs juga tahan lamaa hehe makasih yaa",positif,,,,,,
546,GOC Shop,Saya beli lipstik di seller ini kecewa banget banget barang yg dikirim udh patah udh ada bekas dikopek saking aja ribet mau retur emg mending beli lgsg aja ke toko kosmetik kalo rusak gmpng tinggal dtg minta ganti kalo knline gini rusak ya terima nasib aja...,negatif,,,,,,
547,GOC Shop,Lipsticknya bagus dan ringan di bibir. Paket yg dikirim juga rapi tidak pecah. Semoga lazada selalu bisa memberikan yg trbaik bagi pelanggannya.,positif,,,,,,
548,GOC Shop,Suka banget sama warnanya. Hasilnya pulasannya cerah bgt tp gak norak,positif,,,,,,
549,GOC Shop,"barangnya udah sampe dan warnanya sesuai di foto, trus packagingnya juga rapih,makasih gah",positif,,,,,,
550,GOC Shop,Tidak sesuai dgn gambarnya pas dateng ternyata warnanya diamon no.81 bukan warna pink kaya digambar.. Kecewa bgt,negatif,,,,,,
551,GOC Shop,Begitu paket dtg lsg dibuka dan taraaa lipstik dlm keadaan pecah! Gak bakal order disini lg!,negatif,,,,,,
552,GOC Shop,"Kiriman dianter lg ujan,kasian abang yg anternya,keren deh buat lazada n abang2 nya. :)",positif,,,,,,
553,GOC Shop,nempel bgt d kulit. mate bgt dah. cocok buat kulit berminyak. cius,positif,,,,,,
554,GOC Shop,"Sempat susah cari purbasari series matte no 89 ini, akhirnya nemu juga. Thanks Lazada. Pesen hari minggu, senin terverivikasi, dan selasa sampai. Packaging rapi pakai bubble wrap. Lipsticknya hasilnya bagus matte banget. Lazada is the best. Makasih juga GOC.",positif,,,,,,
555,GOC Shop,"makasih banyak Lazada ini ke4 kalinya belanja di Lazada ???? jadwal nya besok atau lusa baru sampe, ehh tadi pagi udah sampe puas puassss",positif,,,,,,
556,GOC Shop,Brang lma nyampe pas dtang hrga pas psen 35rb pas dtang brang mlah jd 40rbn ga konsistein..,negatif,,,,,,
557,GOC Shop,"Warna yang dikirim no.83, jelek banget, nyesel beli disini",negatif,,,,,,
558,GOC Shop,"Beli no 81 isinya 84 kotaknya doang yg 81, penipu!!!",negatif,,,,,,
559,GOC Shop,"Barang sampe, masa pas w coba lipstiknya uda patah",negatif,,,,,,
560,GOC Shop,"Saya sangttt kecewa beli brang ni nyampe'y dua mg terus nyampe'y ribet kt'tdk terjangkau oleh kurir pd hal saya sering pake alamat saya terus saya pesan 6 barang tpi cuman satu yg datang saya kapok bayar duluan ,lewat alfamat bayar 142000 yg datang satu yg harga 16000 sanattttt kecewaaaaaa....lain kali jgn sampe terjdi ama yg lain cukup saya aja yg udah jdi korban untuk kbaikan customer yg lain",negatif,,,,,,
561,GOC Shop,Pesan 4 barang yg dateng 2 bayar pul sangat kecewa padahal saya udah langganan,negatif,,,,,,
562,GOC Shop,Allhamdulillah yaallah paket cepet sampenyaa packing rapiiiiiiiiiih bgt gada yg bocor semua di tata rapiih recommend banget buat belanja dsinii mau jadi langganan aaah insya allaah makasiiiih,positif,,,,,,
563,GOC Shop,"barangnya sampai sesuai estimasi, warnanya bagus banget pas sama yang diinginkan. packingnya rapih pakai buble plastik jadi aman. oiya dapet pouch cantik juga... pas buat tempat make up. kurirnya juga ok. terima kasih lazada... sukses terus",positif,,,,,,
564,GOC Shop,"suka bgd sm bedaknya , hasilnya bnr* matte , lumayan tahan 6 jam , kena air jga ga luntur , pko.a recomend bgd buat yg muka berminyak",positif,,,,,,
565,GOC Shop,barangnya udh smp ..pengiriman lumayan cepet..bgt dipake hasilnya bgs lumayan matte..moga thn lama ya...,positif,,,,,,
566,GOC Shop,"Brng dtng cpt,packing rapi pk bubble wrap,warna nya sesuai pict, bgsss bangetttt dibibir natural and warna lipstick yg aq idam2kan akhirnya dpt jg,,kurir nya sopan bgt lg,hehee.. Top dch pokonya,thx seller and lazada..",positif,,,,,,
567,GOC Shop,"Emang keren bgd warna nya gak norak & awet, kllo abiis pasti slalu pesen pesen & pesen lagii di Lazada... Thx ya Lazada...",positif,,,,,,
568,GOC Shop,Sumpah bagus banget warna lipstiknya baru sampe langsung aku pake. Seneng bgt. Makasih banyak lazadaa,positif,,,,,,
569,GOC Shop,Ga sesuai warnanya di gambar lebih muda pas dateng warnanya agak tua kecewa banget,negatif,,,,,,
570,GOC Shop,Tolong dong jdi seller tuh yg amanah saya pesan dua yg dateng cuma satu Trus satu nya lgi nyangkut dmna?,negatif,,,,,,
571,GOC Shop,Ga bgt brng nya. Mate apa nga ini mah lipstik dicairin kentel bgt masa,negatif,,,,,,
572,GOC Shop,"suka bngt sama warna nya gak menor tpi gak kalem jugaa,trus tahan lama lagiii,thanks lazada dan purbasari lips mate",positif,,,,,,
573,GOC Shop,"Packing rapi dan pengiriman cepat. Lipstiknya juga bagus, sukak warnanya bikin bibir jadi cetar karena merahnya juga ga terlalu menor kek tante2 hhe. Jadi makin pede buat ke kampus. nanti mau pesen lagi... Thank you GOC Shop dan thank you Lazada. ?",positif,,,,,,
574,GOC Shop,"Sangat puas,rencana akan beli lagi,krn setelah saya pakai lipstik purbasari banyak teman yg pesan.makasih lazada mantapp....",positif,,,,,,
575,GOC Shop,"Sayang patah lip nya,juga lama kirimnya",negatif,,,,,,
576,GOC Shop,"Barangnya sampe dengan selamat,,,,hehehe... Warnanya cantik banget,, teksturnya creamy,nyaman banget di pakenya,,,dan matte banget,,,,wangi lagi.....sukaa banget... Thanks seller & lazada ... Good job....",positif,,,,,,
577,GOC Shop,"Barang datangnya lama,pas datang matte tidak sesuai pesana",negatif,,,,,,
578,GOC Shop,Ngk sesuai gambar nya.n kurirnya kurang ramah nterlalu tergesa-gesa. Thank Lazada perbaiki lagi,negatif,,,,,,
579,GOC Shop,"pengiriman produk tepat waktu, kurir juga ramah. lipcreamnya bagus banget di bibir wanita asia, jatuhnya natural. thankyou seller dan lazada",positif,,,,,,
580,GOC Shop,"Warna yg dikirim sesuai..bagus..lipstik matte lokal hrga trjangkau kualitas baik,barang cepat sampai order tgl 25 tgl 27 sampai..kurirnya lazada selalu ramah",positif,,,,,,
581,GOC Shop,"paket dikemas sangat rapih , Newcell eye serum roll on nya enak dipakai semoga mata panda nya hilang:) thanks lazada & seller GOC shop",positif,,,,,,
582,GOC Shop,"Lipsticknya bagus, nutup bibir yg kehitaman. Dan pengirimannya pun cepat, datang sebelum waktu yang ditentukan. Terimakasih Lazada...",positif,,,,,,
583,GOC Shop,"Barang lama datang, puch tdak ada, kecewaa..... Sekali",negatif,,,,,,
584,GOC Shop,Makasih loh gak lama pesen tgl 8 td jam 5n pas bgt baru mandi d coba kata suami makin cantik karna warna lipstiknya,positif,,,,,,
585,GOC Shop,Pengirimannya cepatttt.. Baru order tgl 2 eh tgl 4 udah diterima lagi barangnyaaaa... Sesuai jg sama yg d foto.. Merahnya bagus.,positif,,,,,,
586,GOC Shop,Allhamdulillah yaallah paket cepet sampenyaa packing rapiiiiiiiiiih bgt gada yg bocor semua di tata rapiih recommend banget buat belanja dsinii mau jadi langganan aaah insya allaah makasiiiih,positif,,,,,,
